Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Well Gas 155,Midnapore,Gas Multiwell Group,GAS PUMP,Vent,Separator,Process Gas,Connector,Highflow,204060,0.360822336
Well Gas 155,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,204061,0.062751711
Well Gas 155,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,SCVF,Highflow,204062,0.047063783
Well Gas 163,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,204092,1.881369164
Well Gas 165,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,201376,0.177058535
Well Gas 165,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,201377,0.140366102
Well Gas 167,Drayton Valley,Gas Single,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,201968,0.374318022
Well Gas 168,Grande Prairie,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Estimate,201481,0.048427327
Well Gas 169,Drayton Valley,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,201413,0.295793928
Well Gas 169,Drayton Valley,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Regulator,Estimate,201385,0.028260721
Well Gas 17,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Other (describe in notes),Process Gas,Connector,Highflow,201914,0.083374726
Well Gas 17,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Other (describe in notes),Process Gas,Meter,Highflow,201915,0.06661539
Well Gas 17,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Other (describe in notes),Process Gas,Connector,Highflow,201917,0.166538476
Well Gas 17,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Other (describe in notes),Process Gas,Regulator,Highflow,201916,0.06661539
